216 125
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
0 1 0
1 1 0
2 1 0
3 1 0
4 1 0
5 1 0
0 2 0
1 2 0
2 2 0
3 2 0
4 2 0
5 2 0
0 3 0
1 3 0
2 3 0
3 3 0
4 3 0
5 3 0
0 4 0
1 4 0
2 4 0
3 4 0
4 4 0
5 4 0
0 5 0
1 5 0
2 5 0
3 5 0
4 5 0
5 5 0
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
0 1 1
1 1 1
2 1 1
3 1 1
4 1 1
5 1 1
0 2 1
1 2 1
2 2 1
3 2 1
4 2 1
5 2 1
0 3 1
1 3 1
2 3 1
3 3 1
4 3 1
5 3 1
0 4 1
1 4 1
2 4 1
3 4 1
4 4 1
5 4 1
0 5 1
1 5 1
2 5 1
3 5 1
4 5 1
5 5 1
0 0 2
1 0 2
2 0 2
3 0 2
4 0 2
5 0 2
0 1 2
1 1 2
2 1 2
3 1 2
4 1 2
5 1 2
0 2 2
1 2 2
2 2 2
3 2 2
4 2 2
5 2 2
0 3 2
1 3 2
2 3 2
3 3 2
4 3 2
5 3 2
0 4 2
1 4 2
2 4 2
3 4 2
4 4 2
5 4 2
0 5 2
1 5 2
2 5 2
3 5 2
4 5 2
5 5 2
0 0 3
1 0 3
2 0 3
3 0 3
4 0 3
5 0 3
0 1 3
1 1 3
2 1 3
3 1 3
4 1 3
5 1 3
0 2 3
1 2 3
2 2 3
3 2 3
4 2 3
5 2 3
0 3 3
1 3 3
2 3 3
3 3 3
4 3 3
5 3 3
0 4 3
1 4 3
2 4 3
3 4 3
4 4 3
5 4 3
0 5 3
1 5 3
2 5 3
3 5 3
4 5 3
5 5 3
0 0 4
1 0 4
2 0 4
3 0 4
4 0 4
5 0 4
0 1 4
1 1 4
2 1 4
3 1 4
4 1 4
5 1 4
0 2 4
1 2 4
2 2 4
3 2 4
4 2 4
5 2 4
0 3 4
1 3 4
2 3 4
3 3 4
4 3 4
5 3 4
0 4 4
1 4 4
2 4 4
3 4 4
4 4 4
5 4 4
0 5 4
1 5 4
2 5 4
3 5 4
4 5 4
5 5 4
0 0 5
1 0 5
2 0 5
3 0 5
4 0 5
5 0 5
0 1 5
1 1 5
2 1 5
3 1 5
4 1 5
5 1 5
0 2 5
1 2 5
2 2 5
3 2 5
4 2 5
5 2 5
0 3 5
1 3 5
2 3 5
3 3 5
4 3 5
5 3 5
0 4 5
1 4 5
2 4 5
3 4 5
4 4 5
5 4 5
0 5 5
1 5 5
2 5 5
3 5 5
4 5 5
5 5 5
0 1 7 6 36 37 43 42
1 2 8 7 37 38 44 43
2 3 9 8 38 39 45 44
3 4 10 9 39 40 46 45
4 5 11 10 40 41 47 46
6 7 13 12 42 43 49 48
7 8 14 13 43 44 50 49
8 9 15 14 44 45 51 50
9 10 16 15 45 46 52 51
10 11 17 16 46 47 53 52
12 13 19 18 48 49 55 54
13 14 20 19 49 50 56 55
14 15 21 20 50 51 57 56
15 16 22 21 51 52 58 57
16 17 23 22 52 53 59 58
18 19 25 24 54 55 61 60
19 20 26 25 55 56 62 61
20 21 27 26 56 57 63 62
21 22 28 27 57 58 64 63
22 23 29 28 58 59 65 64
24 25 31 30 60 61 67 66
25 26 32 31 61 62 68 67
26 27 33 32 62 63 69 68
27 28 34 33 63 64 70 69
28 29 35 34 64 65 71 70
36 37 43 42 72 73 79 78
37 38 44 43 73 74 80 79
38 39 45 44 74 75 81 80
39 40 46 45 75 76 82 81
40 41 47 46 76 77 83 82
42 43 49 48 78 79 85 84
43 44 50 49 79 80 86 85
44 45 51 50 80 81 87 86
45 46 52 51 81 82 88 87
46 47 53 52 82 83 89 88
48 49 55 54 84 85 91 90
49 50 56 55 85 86 92 91
50 51 57 56 86 87 93 92
51 52 58 57 87 88 94 93
52 53 59 58 88 89 95 94
54 55 61 60 90 91 97 96
55 56 62 61 91 92 98 97
56 57 63 62 92 93 99 98
57 58 64 63 93 94 100 99
58 59 65 64 94 95 101 100
60 61 67 66 96 97 103 102
61 62 68 67 97 98 104 103
62 63 69 68 98 99 105 104
63 64 70 69 99 100 106 105
64 65 71 70 100 101 107 106
72 73 79 78 108 109 115 114
73 74 80 79 109 110 116 115
74 75 81 80 110 111 117 116
75 76 82 81 111 112 118 117
76 77 83 82 112 113 119 118
78 79 85 84 114 115 121 120
79 80 86 85 115 116 122 121
80 81 87 86 116 117 123 122
81 82 88 87 117 118 124 123
82 83 89 88 118 119 125 124
84 85 91 90 120 121 127 126
85 86 92 91 121 122 128 127
86 87 93 92 122 123 129 128
87 88 94 93 123 124 130 129
88 89 95 94 124 125 131 130
90 91 97 96 126 127 133 132
91 92 98 97 127 128 134 133
92 93 99 98 128 129 135 134
93 94 100 99 129 130 136 135
94 95 101 100 130 131 137 136
96 97 103 102 132 133 139 138
97 98 104 103 133 134 140 139
98 99 105 104 134 135 141 140
99 100 106 105 135 136 142 141
100 101 107 106 136 137 143 142
108 109 115 114 144 145 151 150
109 110 116 115 145 146 152 151
110 111 117 116 146 147 153 152
111 112 118 117 147 148 154 153
112 113 119 118 148 149 155 154
114 115 121 120 150 151 157 156
115 116 122 121 151 152 158 157
116 117 123 122 152 153 159 158
117 118 124 123 153 154 160 159
118 119 125 124 154 155 161 160
120 121 127 126 156 157 163 162
121 122 128 127 157 158 164 163
122 123 129 128 158 159 165 164
123 124 130 129 159 160 166 165
124 125 131 130 160 161 167 166
126 127 133 132 162 163 169 168
127 128 134 133 163 164 170 169
128 129 135 134 164 165 171 170
129 130 136 135 165 166 172 171
130 131 137 136 166 167 173 172
132 133 139 138 168 169 175 174
133 134 140 139 169 170 176 175
134 135 141 140 170 171 177 176
135 136 142 141 171 172 178 177
136 137 143 142 172 173 179 178
144 145 151 150 180 181 187 186
145 146 152 151 181 182 188 187
146 147 153 152 182 183 189 188
147 148 154 153 183 184 190 189
148 149 155 154 184 185 191 190
150 151 157 156 186 187 193 192
151 152 158 157 187 188 194 193
152 153 159 158 188 189 195 194
153 154 160 159 189 190 196 195
154 155 161 160 190 191 197 196
156 157 163 162 192 193 199 198
157 158 164 163 193 194 200 199
158 159 165 164 194 195 201 200
159 160 166 165 195 196 202 201
160 161 167 166 196 197 203 202
162 163 169 168 198 199 205 204
163 164 170 169 199 200 206 205
164 165 171 170 200 201 207 206
165 166 172 171 201 202 208 207
166 167 173 172 202 203 209 208
168 169 175 174 204 205 211 210
169 170 176 175 205 206 212 211
170 171 177 176 206 207 213 212
171 172 178 177 207 208 214 213
172 173 179 178 208 209 215 214
